EUS,CAS
Hegazkina,avión
Hegaldia,vuelo
Atea,puerta
Erlojua,reloj
Irteerak,salidas
Helduerak,llegadas
Arraina,pez
Itsasontzia,barco
Kaia,puerto
Itsasoa,mar
Sare-konpontzailea,el que arregla las redes
Sarea,red
Arrantzalea,pescador
Ibai,río
Zubia,puente
Itsaso,mar
Lana,trabajo
Gero,luego
Orain,ahora
Orduan,entonces
Kontuz,cuidado
Aulki,silla
Mahaia,mesa
Denda,tienda
Ordua,hora
Laguna,amigo
Egia,verdad
Umea,niño/bebé
Sarrera,entrada
Baina,pero
Erraldoia,gigante
Usain,olor
Irudimena,imaginación 
Ezer,nada
Paperontzia,papelera
Zuhaitza,árbol 
Iturria,fuente
Jesarlekua,banco de sentar
Umezaintzailea,niñera
Txakurra,perro
Txoria,pájaro
Lorea,flor
Agurea,viejo
Altxorra,tesoro
Osoa,entero
Horma,pared
Haurra,niño
Gizon,hombre
Alaia,alegre
Bakarrik,solo
Itxita,cerrado
